age,tenure,monthly_charges,total_charges,contract,payment_method,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn
43,1.7631255210799208,48.31353909016836,1054.9751127602308,One year,Credit card,Fiber optic,1,0,1,1,1,1,0
18,1.960506106303654,80.28059563145719,1983.9349911332756,One year,Bank transfer,No,0,1,1,0,1,1,0
20,0.14896397451132995,34.14396969580708,0.0,Two year,Credit card,DSL,0,0,1,1,0,1,0
42,2.29529345904876,52.34489940229922,1478.444266880497,Month-to-month,Credit card,DSL,1,1,1,0,0,1,0
51,0.5539635317830209,76.92882275163505,437.3401375356534,One year,Mailed check,DSL,0,0,1,1,1,0,1
42,2.503195722539067,52.31428304621194,1657.9171184368104,Two year,Electronic check,DSL,0,1,1,1,1,0,0
38,3.457961427963438,60.28060025578057,2516.516191262839,One year,Credit card,Fiber optic,0,1,1,0,1,0,0
35,3.2588578919909588,79.8837142063007,3153.8012511911834,Month-to-month,Credit card,DSL,0,1,0,1,0,0,1
18,1.608161806149805,73.43092167073122,1338.805783713117,Month-to-month,Bank transfer,Fiber optic,1,1,0,0,1,1,0
29,1.4686463600932604,70.33636792590804,1310.2942447998607,Month-to-month,Credit card,Fiber optic,0,1,1,1,1,0,0
33,0.3083452699285018,58.21755441459923,423.88458248966367,Month-to-month,Credit card,Fiber optic,1,1,1,0,1,1,0
55,2.9863890152748565,72.40122230537911,2493.8274102802643,One year,Mailed check,No,1,0,1,1,1,1,0
45,0.633286538217213,62.52534639800487,441.1816212899427,Month-to-month,Bank transfer,Fiber optic,1,1,1,1,1,0,0
18,1.3731195417994453,74.1561121985157,1245.0632290606588,Month-to-month,Credit card,DSL,0,1,0,1,0,1,0
44,0.6689159933274842,55.06135949764044,520.6177089874919,One year,Bank transfer,No,1,1,0,0,0,1,0
34,0.28734438981459237,61.34862051240918,155.58355459631548,One year,Electronic check,No,0,1,1,1,1,1,0
29,1.9861151469518448,45.20084414895972,793.9859456168288,Month-to-month,Mailed check,DSL,1,0,1,1,1,1,0
49,0.11172751945183274,64.29984779987528,222.1276993661279,One year,Electronic check,DSL,1,1,1,1,1,0,1
55,2.761779855836161,48.7799827274231,1692.6854959340103,Month-to-month,Electronic check,DSL,0,1,1,1,1,1,1
53,0.7642398651077931,42.71907099676014,217.47665162446395,Month-to-month,Credit card,DSL,1,0,1,1,1,1,1
27,0.0002694041528053474,70.17322295710777,0.0,Month-to-month,Electronic check,No,1,1,0,1,1,1,0
35,1.4313138256088904,69.25479551715321,1346.3223987137485,One year,Electronic check,Fiber optic,1,1,1,1,1,1,0
44,0.09596998472250436,80.65747469897146,237.66800122117948,Two year,Mailed check,DSL,0,1,1,0,0,0,0
54,0.6463962198195594,56.37748860849802,531.1703485013352,Month-to-month,Bank transfer,No,1,0,1,1,1,0,0
32,2.4550048511866462,73.16105693673512,2137.71775297554,One year,Bank transfer,Fiber optic,1,1,0,1,1,1,0
37,0.12948160931765357,76.01595144547326,126.4107546049209,Month-to-month,Electronic check,DSL,0,0,1,0,0,1,1
23,3.6569111284295728,73.8954761566319,3229.6576886608595,One year,Electronic check,No,1,1,1,1,1,1,0
22,0.007654474392792114,48.48692634395716,117.27768155990397,Month-to-month,Electronic check,No,0,1,0,1,1,0,1
52,0.566912346182991,67.98726964542378,374.9296298936431,Month-to-month,Bank transfer,No,0,1,1,1,1,0,1
60,2.7011136926222084,72.28280592109323,2262.3489562870022,Two year,Electronic check,Fiber optic,1,0,1,0,0,0,1
38,0.7603847902394995,65.14356933815884,695.43761036338,One year,Credit card,Fiber optic,1,1,0,0,0,0,0
55,0.21493076548758702,23.27044683257831,55.582273860414844,Month-to-month,Mailed check,DSL,1,1,1,1,0,1,0
45,0.893305335129616,68.2097924794696,869.0327939053107,Month-to-month,Electronic check,Fiber optic,1,0,1,0,0,1,0
30,0.6304992769775121,109.25062078794484,759.4380282956683,Month-to-month,Bank transfer,No,0,1,1,1,1,0,1
45,3.6993522742740583,57.79921462486035,2560.3580368508965,Month-to-month,Mailed check,DSL,0,1,1,1,0,0,0
63,0.7518550905876795,50.43845804289358,362.8276388069162,Two year,Bank transfer,Fiber optic,1,1,1,0,1,0,0
39,3.1111543154627013,72.46697119422797,2706.2074300555596,Two year,Electronic check,Fiber optic,0,0,0,1,0,1,0
63,4.448881815408057,71.24756420933143,3655.80921993627,Month-to-month,Bank transfer,DSL,1,0,0,1,0,1,1
18,1.1376773450865927,88.85470330832828,1164.2924534038134,Month-to-month,Credit card,Fiber optic,1,1,0,0,1,1,0
52,4.814628146322393,39.842636881822244,2158.3043849662768,Two year,Credit card,DSL,0,1,1,1,1,1,0
41,0.9474388211190321,79.62760505149984,974.6997344214245,Month-to-month,Electronic check,Fiber optic,0,0,1,0,1,0,1
35,6.652833904337432,76.80844122502927,6203.584557030169,One year,Mailed check,DSL,1,1,0,1,1,0,0
41,0.18706048362472302,62.15706926118908,0.0,Month-to-month,Mailed check,No,1,0,1,1,1,1,1
18,2.3232272893199766,71.7737463584338,2134.3492889097815,One year,Credit card,DSL,1,1,1,1,1,1,0
36,1.3617023364623064,85.58914963196715,1648.3048529980447,One year,Credit card,DSL,1,1,0,1,1,1,0
45,0.9808986275250262,82.44630760056901,975.0582783124854,Two year,Electronic check,DSL,1,1,1,1,0,1,0
62,2.0032173348106554,42.13961375852543,948.8662311371804,One year,Electronic check,No,0,1,1,0,1,1,0
32,2.4338262852702486,81.40316373510969,2659.8869743323185,Month-to-month,Mailed check,Fiber optic,0,0,1,1,0,0,1
27,0.008745632983492825,63.70622789934963,0.0,One year,Electronic check,Fiber optic,1,1,1,1,1,1,1
32,0.365330644742418,66.4574819603103,293.35810347712317,Two year,Mailed check,Fiber optic,0,1,1,1,0,1,0
53,2.4968670625373326,66.46393982003389,2009.381693460465,Month-to-month,Electronic check,Fiber optic,0,1,1,1,1,0,1
44,2.1955377703349446,61.9951402240348,1767.8668253141966,Month-to-month,Bank transfer,DSL,1,1,1,1,1,1,0
32,6.765585882081083,88.8341499421413,7248.154745855381,Month-to-month,Credit card,Fiber optic,1,1,1,1,0,1,0
47,2.862899715513481,63.32564080301576,2125.6761188971072,Month-to-month,Credit card,DSL,0,0,1,1,1,0,1
41,6.022614176753758,42.609077432336626,2984.2979685898745,Month-to-month,Mailed check,No,1,1,0,1,0,1,0
54,2.4249544057541748,57.129402880605426,1628.252184536539,One year,Bank transfer,Fiber optic,1,0,1,1,0,0,0
29,0.7077924980065297,68.5738943362095,481.74031954862403,Month-to-month,Credit card,Fiber optic,0,0,1,1,1,0,0
35,0.2226787564240718,89.58429568594102,244.16476668012854,Two year,Electronic check,DSL,1,1,0,1,1,0,0
34,3.0449051522289614,77.06189369897668,2759.3342679883667,Month-to-month,Bank transfer,Fiber optic,0,1,1,1,1,0,0
18,2.06648759490405,47.98929442505912,1040.6276000820178,Month-to-month,Mailed check,DSL,1,1,0,0,1,0,0
44,0.09877130890308398,114.70379833357782,261.46791040824473,Month-to-month,Electronic check,DSL,0,0,1,1,1,0,1
43,0.8927319174155142,70.2955062195596,703.2932522940758,Month-to-month,Mailed check,DSL,1,1,0,0,1,1,0
40,6.283821025088229,90.50781475998029,6698.005231385128,Month-to-month,Electronic check,Fiber optic,0,0,0,0,1,0,0
36,1.3878995879767009,61.96571132845542,1015.2003092086036,Month-to-month,Bank transfer,Fiber optic,1,0,1,1,0,1,0
18,1.133836750145098,75.66718489410898,1036.3679767523433,Month-to-month,Electronic check,DSL,0,0,1,1,0,0,0
33,1.2238703940999978,81.7893700903681,1026.548390710369,One year,Mailed check,DSL,1,1,0,1,0,1,0
34,0.4686181185051916,89.36389423508513,535.6952464574865,One year,Electronic check,Fiber optic,1,1,1,1,1,0,0
27,0.9199709051183403,86.1473661075645,846.3210875894193,Month-to-month,Credit card,Fiber optic,0,0,0,1,0,0,0
37,0.9234781689040747,82.44394000145955,1084.725025916502,One year,Mailed check,DSL,1,0,1,0,0,0,0
46,0.10755068147219563,58.69826537611783,128.15251251692058,One year,Bank transfer,DSL,0,1,1,1,1,1,0
68,2.9183119432260995,53.565079160878774,1835.8453240495962,Month-to-month,Bank transfer,No,1,1,0,1,0,1,1
42,1.0774368453275396,71.65215020648395,851.8912231211739,Two year,Mailed check,No,0,1,1,1,1,0,0
43,3.453965679565796,83.66256144682139,3457.1146200662643,Two year,Electronic check,No,1,0,0,1,0,0,0
38,3.7988853754777145,60.54558598446786,2821.3479679118104,Month-to-month,Bank transfer,No,1,0,0,1,0,0,0
18,0.47649928870812497,86.30343931428773,490.9329164973552,Month-to-month,Electronic check,DSL,0,1,1,1,0,0,1
39,2.142111846942619,94.05233490972358,2395.9315693991193,Month-to-month,Electronic check,DSL,0,1,1,0,1,1,1
40,1.2783857155214864,46.67358161853161,721.8391094820738,Month-to-month,Bank transfer,DSL,1,1,1,1,1,1,0
76,4.24314107860472,48.2615859240744,2396.9827199129213,One year,Electronic check,DSL,1,1,1,1,0,1,0
37,0.48603109393259447,62.192498821893274,328.40926615737277,Month-to-month,Mailed check,No,1,0,1,1,0,0,1
44,2.2652475567668895,71.15225336378393,1725.5503731987424,One year,Mailed check,Fiber optic,0,1,1,1,1,1,0
39,1.8717225956861803,54.50865972465898,1321.6737038917984,One year,Mailed check,Fiber optic,1,1,1,1,1,0,0
22,0.699970390780318,92.04405357734288,803.0171238506229,One year,Bank transfer,DSL,0,1,1,1,1,0,0
57,0.2937564849613751,73.48133723036902,181.68184761731248,One year,Bank transfer,No,0,1,1,1,1,1,0
51,2.1090363271708568,65.78894096481478,1854.8886951862435,Month-to-month,Bank transfer,No,1,1,1,1,1,0,0
51,2.683387507570942,36.281809522629445,1176.9995011403464,Month-to-month,Bank transfer,DSL,0,0,1,0,1,1,0
26,0.7585053813203535,38.683683671449856,248.4870296115484,One year,Electronic check,No,1,0,1,0,1,1,0
61,2.0703321253609963,70.62018500563613,1840.1605947403111,Month-to-month,Mailed check,DSL,1,1,1,0,1,0,1
18,1.005486441162735,22.348087476903274,309.45320897826576,Month-to-month,Mailed check,DSL,1,0,1,0,0,1,0
48,2.497988341665501,85.25274819288143,2594.982451517571,Two year,Mailed check,Fiber optic,1,1,1,1,0,0,0
72,0.444326251412142,61.83692311255359,287.13365848038234,One year,Credit card,Fiber optic,1,1,1,1,0,0,0
25,4.418462790545983,129.86185939189465,6930.527095988214,Month-to-month,Credit card,DSL,1,1,1,0,0,1,0
31,0.6776969854692375,111.15832501232221,877.8041122258165,One year,Electronic check,DSL,1,0,1,1,0,1,0
41,0.9170546303766779,61.371018615049664,730.9610666669594,One year,Electronic check,No,1,1,1,0,0,0,0
32,0.11969524568741217,62.873259949373704,0.0,Month-to-month,Electronic check,Fiber optic,0,0,1,1,1,1,0
18,0.23646875271342271,84.9116302800406,197.56002134029507,Month-to-month,Electronic check,Fiber optic,0,0,1,0,1,1,0
41,1.4507701759768121,99.06345219836075,1896.8351335250559,Two year,Electronic check,DSL,0,1,1,0,1,0,0
24,0.6228369344514492,32.239418851279666,164.25206412989738,Month-to-month,Bank transfer,DSL,1,1,1,0,1,1,1
47,3.6094490154940124,29.272490692906267,1207.5069228014993,Month-to-month,Credit card,DSL,1,0,0,1,0,1,0
26,0.029604811388883413,52.55930388891237,0.0,Month-to-month,Bank transfer,DSL,0,1,0,1,1,1,0
63,0.9531513113094143,76.65475166347728,755.2823112048262,One year,Electronic check,DSL,0,1,1,0,1,0,1
28,0.823003222683286,74.93747181015195,519.2572919710901,Month-to-month,Mailed check,DSL,1,0,1,1,0,1,0
35,0.03903370333975423,86.395429099677,17.409362740289456,Month-to-month,Bank transfer,Fiber optic,1,0,1,0,0,0,0
52,0.2656196466091774,41.006049432693835,144.29009071797284,Month-to-month,Credit card,DSL,1,1,0,1,0,1,0
21,1.067651810951491,20.0,250.9859277744926,Two year,Credit card,No,0,1,1,1,0,1,0
43,1.357954438467984,82.1602839060429,1324.351210157219,Month-to-month,Credit card,DSL,0,0,1,0,0,0,1
59,1.0360017664794439,48.43607454069531,606.4623925109231,One year,Bank transfer,Fiber optic,0,0,1,1,0,0,0
18,1.5140392750266451,24.630242712227243,549.7780049920865,Two year,Bank transfer,DSL,0,1,1,1,0,1,0
42,1.8083867759270336,67.90127491918763,1454.4565929964165,Month-to-month,Electronic check,Fiber optic,0,1,1,1,0,1,0
43,0.019946780916305435,80.86351376437355,0.0,Two year,Bank transfer,DSL,1,0,1,1,1,0,0
51,1.2475973399332378,62.55885735757445,908.4666198540644,Two year,Electronic check,No,0,1,0,1,0,1,0
21,6.620844442019276,55.843032276350215,4494.671034444194,Two year,Mailed check,Fiber optic,0,0,1,1,0,1,0
20,1.4639102431696511,61.81275535708187,1227.0625965635875,Month-to-month,Bank transfer,Fiber optic,0,0,1,1,1,0,1
47,2.263566426447793,57.588344751984344,1501.4461509065948,One year,Electronic check,DSL,1,0,1,1,1,0,0
44,0.7475371593797607,38.03905776119666,351.1206889143395,One year,Electronic check,Fiber optic,1,1,0,1,0,1,0
43,2.974364261341995,50.70638646019137,1843.666908701462,Two year,Electronic check,Fiber optic,1,1,1,1,1,0,0
45,2.96491885297936,75.42559810027629,2584.311532984158,Month-to-month,Electronic check,DSL,0,1,1,1,0,0,0
29,1.4733458524055132,71.43357082753,1264.9979803363733,One year,Electronic check,Fiber optic,0,1,1,1,0,0,0
43,7.460555169071689,68.3611961193364,5973.582315130254,Month-to-month,Electronic check,No,0,1,1,1,0,1,0
44,0.2683208145687498,45.097030362932415,0.0,Month-to-month,Electronic check,Fiber optic,0,0,0,1,1,0,1
29,0.0341858401169344,61.36993675728666,61.85043494087743,Month-to-month,Electronic check,No,1,0,1,1,0,1,0
67,2.9407281679195654,21.458699071142902,718.8629355319539,One year,Credit card,No,1,1,1,0,1,1,0
47,3.2917426161318923,68.56953327770779,2728.787099064178,Month-to-month,Mailed check,No,1,1,1,1,0,0,0
22,0.2561377737569413,93.57715415627135,285.8342295803344,One year,Electronic check,Fiber optic,1,1,1,1,1,1,0
49,0.6173561286960697,35.517357359157884,165.48229402279514,Two year,Bank transfer,Fiber optic,1,0,1,1,0,1,0
25,0.035416465412930004,53.281446533644896,18.11905590328292,Month-to-month,Credit card,Fiber optic,0,1,1,0,1,1,1
51,0.6943224317033132,71.5821355742026,473.1028587592736,One year,Bank transfer,Fiber optic,1,1,1,0,1,0,0
57,2.966860904256224,90.05685268854967,3345.3311006243807,Month-to-month,Electronic check,No,0,0,0,1,1,1,1
27,1.45945855114414,56.03550767399701,845.7809756242198,Month-to-month,Bank transfer,DSL,1,1,1,1,0,0,0
54,0.8557146861866832,51.154993414682075,505.7104225438601,One year,Bank transfer,DSL,0,1,0,1,1,0,1
46,0.9296001263187308,25.62153715167834,181.58625126743803,Two year,Bank transfer,DSL,0,0,0,1,1,1,1
52,0.0027090853886956295,67.06876258616212,59.22245739320037,One year,Bank transfer,DSL,1,0,1,1,0,0,0
68,0.7127800478224141,105.84152080287488,872.157553985492,One year,Credit card,DSL,1,0,1,1,1,1,0
36,2.079510173121035,70.54716923929352,1708.5760014539055,Month-to-month,Credit card,Fiber optic,0,0,1,1,1,0,0
28,7.314330908570359,64.55442041632574,5751.388864936877,Month-to-month,Bank transfer,DSL,0,1,0,1,1,0,0
26,3.7554299972493825,71.44164621533972,3222.47227416733,One year,Mailed check,Fiber optic,0,0,1,1,0,1,0
27,0.047755566831033,64.77815992102796,88.78665753719665,Month-to-month,Bank transfer,Fiber optic,1,0,1,1,1,0,0
38,4.576587498444518,48.73971255479741,2578.606116221035,Month-to-month,Credit card,DSL,1,1,0,1,0,1,0
45,3.057545381420305,81.46559831355411,2848.535472026239,One year,Electronic check,DSL,1,1,1,0,1,1,1
44,3.031677696697999,69.51523046223508,2539.6940814821664,Month-to-month,Credit card,Fiber optic,0,1,1,0,1,0,0
52,1.224962905712892,65.35226503867315,928.764570170832,Month-to-month,Electronic check,Fiber optic,1,1,0,1,1,1,0
40,1.0150132519903914,45.492679454435006,616.7515374230248,One year,Mailed check,No,0,1,1,1,0,0,0
61,0.7216979399646261,91.07015863869518,780.710905315321,One year,Credit card,No,0,0,1,1,1,0,1
36,0.13590438126854174,78.2940549066622,148.19359499260491,Two year,Electronic check,No,0,1,1,0,0,1,1
80,0.518151300866055,53.941583252653956,173.06056540352273,One year,Mailed check,Fiber optic,1,1,0,1,1,0,0
49,0.5663276170018666,85.03649707363874,766.7458949122259,Month-to-month,Electronic check,No,0,0,1,1,1,0,0
27,1.323595769118734,55.048583232295854,857.9206638437639,Two year,Mailed check,No,0,1,1,1,1,1,0
23,2.7522477652134314,49.35993014977926,1699.9677863837724,One year,Electronic check,No,1,1,1,1,0,1,0
47,1.2841851772313098,49.805937650394256,683.9113954029547,Month-to-month,Mailed check,DSL,0,1,0,1,0,1,1
36,0.11916978012496816,29.578628938238175,73.09953470534846,Month-to-month,Mailed check,No,1,0,1,1,0,1,0
50,6.330186808793513,74.43084760836412,5523.649560020966,One year,Credit card,Fiber optic,1,0,1,1,1,1,0
47,5.719758324704087,28.377102433233,1992.9287983075476,One year,Credit card,Fiber optic,1,1,0,0,0,1,0
38,3.0759984714558355,40.431123374684745,1456.7954759586876,One year,Electronic check,DSL,0,1,1,0,1,1,0
27,9.495288966719887,23.488239818429335,2679.25054314079,One year,Bank transfer,DSL,0,0,1,0,1,1,0
18,1.5726415532925795,63.27860614418214,1263.9721884943212,One year,Electronic check,DSL,1,1,0,1,0,0,0
33,6.5811921595658,61.99359079456256,4772.64677304404,Two year,Electronic check,DSL,1,0,1,0,0,1,0
52,0.15723170689833965,58.46607573627272,41.86347754266143,One year,Electronic check,DSL,0,0,1,0,0,1,0
43,0.9104057992925537,44.14844610658847,528.0484444909915,Month-to-month,Credit card,No,0,1,0,0,0,1,1
21,0.5107686587971821,41.5553249312672,464.5240384269681,Two year,Credit card,DSL,0,0,1,0,1,1,1
42,0.4358968491046164,74.28739727093148,374.77147531683477,Month-to-month,Electronic check,DSL,1,0,1,1,1,0,1
45,0.30351397474217,53.98896136583025,255.7504628685284,One year,Electronic check,DSL,1,0,0,0,1,0,1
26,1.9479119447839621,71.3271664307229,1656.5713267501376,Two year,Electronic check,Fiber optic,0,1,1,1,0,1,0
42,3.0403085822463196,47.29502627751555,1919.7222509447788,One year,Bank transfer,DSL,1,0,1,1,1,0,0
40,1.7269146453916535,68.62125485542165,1247.3144332432437,One year,Bank transfer,DSL,1,1,1,0,0,1,0
22,0.3179040313356503,91.06556074632127,356.8634109921008,Month-to-month,Electronic check,Fiber optic,1,1,1,1,0,0,1
45,3.3333266916293085,76.72331600785567,2906.37212207534,Month-to-month,Credit card,Fiber optic,0,1,1,1,1,1,1
48,2.020953976434794,56.751723635670395,1125.6543015587672,Month-to-month,Mailed check,DSL,0,0,1,1,1,1,0
56,0.9825875895555617,70.14397940711855,856.8174490814885,One year,Credit card,DSL,0,1,1,0,0,0,1
55,2.242515314134136,60.18669650939574,1633.5848431683078,One year,Bank transfer,DSL,1,0,1,1,1,1,0
19,0.6019533891974342,65.15760369389456,442.1783907320569,One year,Mailed check,No,1,1,1,1,1,1,0
25,0.8468270689879257,58.48777895702993,583.7290041055687,Month-to-month,Credit card,DSL,1,1,1,0,1,0,0
47,4.989570803925409,61.71329588229218,4004.904255586669,Month-to-month,Credit card,Fiber optic,0,0,1,0,0,1,1
47,0.686402265780928,69.2418670614835,544.5157794517055,One year,Electronic check,DSL,0,1,1,1,1,1,1
47,1.2697122742597884,45.132826008360986,738.6808739831758,Month-to-month,Mailed check,Fiber optic,0,0,0,1,1,0,1
80,4.417117608523501,44.68242346020043,2303.4737515292713,One year,Credit card,DSL,1,0,1,1,1,1,0
48,2.4600953036874644,37.229148923375774,1128.5703106241956,One year,Electronic check,DSL,0,1,1,1,1,0,0
57,0.1284440249481455,32.9945779099258,27.032109153030728,One year,Electronic check,Fiber optic,0,1,1,0,1,0,0
54,0.31870212680931154,40.65434615559042,114.4276707329705,Month-to-month,Mailed check,DSL,1,0,1,1,1,1,0
49,0.01574499544794723,68.18925013608258,194.77352641593114,Two year,Credit card,DSL,0,0,0,1,0,1,0
35,1.993493413602983,47.14424969016232,1245.4995112775505,Month-to-month,Credit card,Fiber optic,1,0,1,1,1,1,0
51,1.1872315740204675,75.27228928462192,1086.062326589991,Two year,Credit card,No,0,1,1,1,0,0,0
28,0.288375601180207,65.69427497505124,0.0,Month-to-month,Bank transfer,DSL,1,1,1,1,0,0,1
36,6.337036686630444,25.629915731238924,1912.9116728440367,Month-to-month,Electronic check,Fiber optic,1,0,0,1,1,0,1
32,1.5085977092569254,78.09951168443379,1684.1516894951637,Two year,Bank transfer,No,1,0,1,1,0,1,0
41,0.5538622606184095,81.2159729118342,516.7233815992932,Month-to-month,Credit card,No,1,1,1,1,1,1,0
74,1.3887101041050312,45.122746503302935,862.2707251346468,One year,Electronic check,Fiber optic,1,1,0,1,1,1,0
18,2.2764970525465125,73.40383085789983,2149.4374953188403,Two year,Electronic check,Fiber optic,1,1,1,1,1,0,0
50,0.15860426954010162,47.87003525181602,113.00509527327586,Two year,Electronic check,DSL,1,1,1,1,1,1,1
18,0.6423503531701857,66.95340753496671,431.9083765255837,Two year,Bank transfer,Fiber optic,1,0,1,1,0,1,1
32,3.289772604701704,39.710031860900685,1324.112466195586,Month-to-month,Credit card,DSL,0,1,1,1,1,1,0
56,1.2311314431146945,29.137870949308464,498.88691019423777,One year,Bank transfer,DSL,0,0,1,0,1,0,0
40,1.581860255211607,57.34365620774063,1007.0402074401642,Month-to-month,Credit card,Fiber optic,0,1,1,1,0,1,0
23,1.1341430336046225,62.52542107450328,868.5682940068917,Month-to-month,Electronic check,DSL,1,0,0,1,0,1,1
29,0.08978541780031406,57.04640612770792,0.0,Two year,Credit card,Fiber optic,1,1,0,1,0,1,0
50,0.3624437948503873,41.31938883554881,153.1877190384402,Month-to-month,Credit card,Fiber optic,1,1,0,1,1,0,0
29,1.1795271348445522,57.00201875737726,810.1970398730407,One year,Mailed check,Fiber optic,0,1,0,0,1,1,0
43,0.469383616498048,70.38589505161468,423.3151897417773,One year,Credit card,DSL,1,1,1,1,0,0,0
40,0.10254243907225369,64.10213939754927,0.0,One year,Electronic check,DSL,0,1,1,0,1,0,0
30,3.7113120927748615,68.65002061198427,3177.0709148741444,Two year,Credit card,Fiber optic,1,1,0,0,0,1,0
72,7.947002206390479,51.59769599091534,4860.874568140436,Month-to-month,Credit card,No,0,1,0,1,1,1,1
49,3.151453873135485,88.43435829432319,3176.914665533427,One year,Credit card,DSL,1,1,1,1,1,1,0
18,3.8453532045389562,41.47653326890439,1903.0006994286314,Two year,Bank transfer,DSL,0,0,0,1,0,0,1
42,0.5540834454184227,74.75120594173437,500.458399751185,Month-to-month,Electronic check,No,0,1,1,1,1,1,0
30,6.469348709717576,88.63782185919924,6897.206685041019,Month-to-month,Bank transfer,DSL,1,1,0,0,1,1,1
52,0.43861609368275645,74.61816185497791,528.9579604159248,One year,Mailed check,No,1,1,1,1,1,0,0
28,6.049490636404103,60.9495154587034,4400.917393055935,Month-to-month,Credit card,Fiber optic,0,1,1,1,0,1,0
38,10.0,54.43405906674042,6520.125125571973,Month-to-month,Credit card,Fiber optic,1,1,1,0,0,1,0
47,2.487665563369364,85.72175302092512,2448.6461981384005,Two year,Credit card,DSL,0,1,1,1,0,1,0
52,7.941819778852892,36.54050149476654,3564.4322802928764,One year,Electronic check,DSL,1,0,1,1,1,0,0
